;MPP;;;;NCS;;;TRYKNET;VISIOLINK;;;
1. udg.;Produkt;Edition;Sektion;Avis;Kategori;Kanal;Kanalnavn NCS;Filnavn til tryk;Filnavn til E-Paper;FTP-mappe;Kommentar;Asura Inksave
;;;;;;;;;;;;
24.11.16;FAV;E1;A - B;Favrskov Avisen;FAV;FAV;;FAVJFM0T2906161111028.pdf;;FAV;;
24.11.16;FA2;E1;A - B;Tillæg Favrskov Avisen;FAV Tillæg;FAV;;FA2JFM0T2906161111028.pdf;;FAV-S;;
24.11.16;FA4;E1;A - B;Tillæg Favrskov Avisen Trimmet;FAV Tillæg;FAV;;FA4JFM0S2906161111028.pdf;;FAV-S;;
24.11.16;FAQ;;;Favrskov Avisen Øvrige Formater;;;;Ekstern tryk;;;;
24.11.16;FDJ;E1;A - B;Folkebladet Djursland;FDJ;FDJ;;FDJJFM0T2906161111028.pdf;;FDJ;;
24.11.16;FD2;E1;A - B;Tillæg Folkebladet Djursland;FDJ Tillæg;FDJ;;FD2JFM0T2906161111028.pdf;;FDJ-S;;
24.11.16;FD4;E1;A - B;Tillæg Folkebladet Djursland Trimmet;FDJ Tillæg;FDJ;;FD4JFM0S2906161111028.pdf;;FDJ-S;;
24.11.16;FDQ;;;Folkebladet Djursland Øvrige Formater;;;;Ekstern tryk;;;;
24.11.16;GRE;E1;A - B;Grenaa Bladet;GRE;GRE;;GREJFM0T2906161111028.pdf;;GRE;;
24.11.16;GR2;E1;A - B;Tillæg Grenaa Bladet;GRE Tillæg;GRE;;GR2JFM0T2906161111028.pdf;;GRE-S;;
24.11.16;GR4;E1;A - B;Tillæg Grenaa Bladet Trimmet;GRE Tillæg;GRE;;GR4JFM0S2906161111028.pdf;;GRE-S;;
24.11.16;GRQ;;;Grenå Bladet Øvrige Formater;;;;Ekstern tryk;;;;
24.11.16;EFT;E1;A - B;Ebeltoft Folketidende;EFT;EFT;;EFTJFM0T2906161111028.pdf;;EFT;;
24.11.16;EF2;E1;A - B;Tillæg Ebeltoft Folketidende;EFT Tillæg;EFT;;EF2JFM0T2906161111028.pdf;;EFT-S;;
24.11.16;EF4;E1;A - B;Tillæg Ebeltoft Folketidende Trimmet;EFT Tillæg;EFT;;EF4JFM0S2906161111028.pdf;;EFT-S;;
24.11.16;EFQ;;;Ebeltoft Folketidende Øvrige Formater;;;;Ekstern tryk;;;;
24.11.16;HOA;E1;A - B;Holstebro Onsdag;HOA;HOA;;HOAJFM0T2906161111028.pdf;;HOA;;
;SHO;E1;A;Shopping Holstebro;HOA Tillæg 1;HOA;;SHOJFM0T2906161111028.pdf;;HOA-S;;
